" Label Encoded Veri (Tüm Satırlar ve Sütunlar):\n",
            "     school  sex   age  address  famsize  Pstatus      Medu  Fedu  Mjob  Fjob  reason  guardian  traveltime  studytime  failures  schoolsup  famsup  paid  activities  nursery  higher  internet  romantic    famrel  freetime     goout      Dalc      Walc   health   absences         G1        G2         G3\n",
            "117       0    1  16.0        1        0        1  3.000000   3.0     2     3       1         0         2.0        1.0       0.0          0       0     0           1        1       1         1         0  5.000000  4.000000  2.000000  1.000000  1.000000  5.00000   0.000000  13.000000  14.00000  13.000000\n",
            "118       0    1  17.0        0        0        1  1.000000   3.0     2     2       0         0         3.0        2.0       1.0          0       1     0           1        1       1         1         0  5.000000  2.000000  4.000000  1.000000  4.000000  5.00000  20.000000   9.000000   7.00000   8.000000\n",
            "119       0    1  15.0        1        0        1  3.000000   4.0     2     2       3         0         1.0        1.0       0.0          0       0     0           0        1       1         1         0  3.000000  4.000000  3.000000  1.000000  2.000000  4.00000   6.000000  14.000000  13.00000  13.000000\n",
            "120       0    0  15.0        1        0        1  1.000000   2.0     0     3       0         1         1.0        2.0       0.0          0       0     0           0        0       1         1         0  3.000000  2.000000  3.000000  1.000000  2.000000  1.00000   2.000000  16.000000  15.00000  15.000000\n",
            "121       0    1  15.0        1        0        1  2.000000   2.0     3     3       1         0         1.0        4.0       0.0          0       1     1           1        1       1         1         0  5.000000  5.000000  4.000000  1.000000  2.000000  5.00000   6.000000  16.000000  14.00000  15.000000\n",
            "122       0    0  16.0        1        1        1  2.000000   4.0     2     1       0         0         2.0        2.0       0.0          0       1     1           1        1       1         1         1  4.000000  2.000000  2.000000  1.000000  2.000000  5.00000   2.000000  13.000000  13.00000  13.000000\n",
            "123       0    1  16.0        1        0        1  4.000000   4.0     1     2       0         1         1.0        1.0       0.0          0       1     0           1        1       1         1         0  3.000000  4.000000  4.000000  1.000000  4.000000  5.00000  18.000000  14.000000  11.00000  13.000000\n",
            "124       0    0  16.0        1        0        1  2.000000   2.0     2     2       1         1         1.0        2.0       0.0          0       0     1           0        1       1         1         1  5.000000  4.000000  4.000000  1.000000  1.000000  5.00000   0.000000   8.000000   7.00000   8.000000\n",
            "125       0    1  15.0        1        0        1  3.000000   4.0     3     3       1         0         1.0        1.0       0.0          1       0     0           0        1       1         1         0  5.000000  5.000000  5.000000  3.000000  2.000000  5.00000   0.000000  13.000000  13.00000  12.000000\n",
            "126       0    0  15.0        1        1        0  3.000000   4.0     2     2       1         1         1.0        2.0       0.0          1       0     0           1        1       1         1         1  5.000000  3.000000  2.000000  1.000000  1.000000  1.00000   0.000000   7.000000  10.00000  11.000000\n",
            "127       0    0  19.0        1        0        1  0.000000   1.0     0     2       0         2         1.0        2.0       3.0          0       1     0           0        0       0         0         0  3.000000  4.000000  2.000000  1.000000  1.000000  5.00000   2.000000   7.000000   8.00000   9.000000\n",
            "128       0    1  18.0        0        0        1  2.000000   2.0     3     2       3         1         1.0        1.0       2.0          0       1     0           1        1       1         1         0  3.000000  3.000000  3.000000  1.000000  2.000000  4.00000   0.000000   7.000000   4.00000   0.000000\n",
            "129       0    1  16.0        0        0        1  4.000000   4.0     4     4       0         1         1.0        1.0       0.0          0       0     1           1        1       1         1         0  3.000000  5.000000  5.000000  2.000000  5.000000  4.00000   8.000000  18.000000  18.00000  18.000000\n",
            "130       0    0  15.0        0        0        1  3.000000   4.0     3     4       0         0         2.0        3.0       2.0          0       1     0           0        1       1         1         1  4.000000  2.000000  2.000000  2.000000  2.000000  5.00000   0.000000  12.000000   0.00000   0.000000\n",
            "131       0    0  15.0        1        0        1  1.000000   1.0     0     2       0         1         3.0        1.0       0.0          0       1     0           1        0       1         1         1  4.000000  3.000000  3.000000  1.000000  2.000000  4.00000   0.000000   8.000000   0.00000   0.000000\n",
            "132       0    0  17.0        1        1        1  2.000000   2.0     2     2       0         0         1.0        1.0       0.0          0       1     0           0        1       1         1         1  3.000000  4.000000  4.000000  1.000000  3.000000  5.00000  12.000000  10.000000  13.00000  12.000000\n",
            "133       0    0  16.0        1        0        0  3.000000   4.0     3     2       0         0         1.0        1.0       0.0          0       0     0           0        1       1         1         0  3.000000  2.000000  1.000000  1.000000  4.000000  5.00000  16.000000  12.000000  11.00000  11.000000\n",
            "134       0    1  15.0        0        0        1  3.000000   4.0     0     4       0         1         4.0        2.0       0.0          0       1     0           0        1       1         0         1  5.000000  3.000000  3.000000  1.000000  1.000000  5.00000   0.000000   9.000000   0.00000   0.000000\n",
            "135       0    0  15.0        1        0        1  4.000000   4.0     3     0       0         1         1.0        3.0       0.0          0       1     0           1        1       1         1         1  4.000000  3.000000  3.000000  1.000000  2.294872  5.00000   0.000000  11.000000   0.00000   0.000000\n",
            "136       0    1  17.0        0        0        1  3.000000   4.0     0     2       0         1         3.0        2.0       0.0          0       0     0           0        1       1         0         0  5.000000  4.000000  5.000000  2.000000  4.000000  5.00000   0.000000  10.000000   0.00000   0.000000\n",
            "137       0    0  16.0        1        0        0  3.000000   3.0     2     2       0         2         2.0        1.0       2.0          0       1     0           1        0       1         1         0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   0.000000   4.000000   0.00000   0.000000\n",
            "138       0    1  16.0        1        1        1  1.000000   1.0     3     2       0         1         1.0        2.0       1.0          0       0     0           0        1       1         0         1  4.000000  4.000000  4.000000  1.000000  3.000000  5.00000   0.000000  14.000000  12.00000  12.000000\n",
            "139       0    0  15.0        1        0        1  4.000000   4.0     4     4       0         1         2.0        1.0       0.0          0       0     0           1        1       1         1         0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   0.000000  16.000000  16.00000  15.000000\n",
            "140       0    1  15.0        1        0        1  4.000000   3.0     4     3       0         0         2.0        4.0       0.0          1       1     0           0        1       1         1         0  2.000000  2.000000  2.000000  1.000000  1.000000  3.00000   0.000000   7.000000   9.00000   0.000000\n",
            "141       0    1  16.0        1        1        1  2.000000   2.0     3     3       3         0         2.0        1.0       2.0          0       1     0           1        1       1         1         0  2.000000  3.000000  3.000000  2.000000  2.000000  2.00000   8.000000   9.000000   9.00000   9.000000\n",
            "142       0    0  15.0        1        0        1  4.000000   4.0     4     3       0         1         1.0        3.0       0.0          0       1     1           1        1       1         1         0  4.000000  2.000000  2.000000  1.000000  1.000000  5.00000   2.000000   9.000000  11.00000  11.000000\n",
            "143       0    0  16.0        1        1        1  1.000000   1.0     0     0       0         1         1.0        1.0       0.0          0       0     0           0        1       1         1         0  3.000000  4.000000  4.000000  3.000000  3.000000  1.00000   2.000000  14.000000  14.00000  13.000000\n",
            "144       0    1  17.0        1        0        1  2.000000   1.0     2     2       1         1         1.0        1.0       3.0          0       1     0           0        1       1         1         0  5.000000  4.000000  5.000000  1.000000  2.000000  5.00000   0.000000   5.000000   0.00000   0.000000\n",
            "145       0    0  15.0        1        0        1  1.000000   1.0     2     3       0         0         1.0        2.0       0.0          0       1     1           0        1       1         1         0  4.000000  4.000000  2.000000  1.000000  2.000000  5.00000   0.000000   8.000000  11.00000  11.000000\n",
            "146       0    0  15.0        1        0        1  3.000000   2.0     1     3       1         0         1.0        2.0       3.0          0       1     0           0        1       1         1         0  3.000000  3.000000  2.000000  1.000000  1.000000  3.00000   0.000000   6.000000   7.00000   0.000000\n",
            "147       0    0  15.0        1        0        1  1.000000   2.0     0     2       0         1         1.0        2.0       0.0          0       1     1           0        0       1         1         0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   2.000000  10.000000  11.00000  11.000000\n",
            "148       0    1  16.0        1        0        1  4.000000   4.0     4     4       0         1         1.0        1.0       0.0          0       1     0           0        1       0         1         1  3.000000  3.000000  2.000000  2.000000  1.000000  5.00000   0.000000   7.000000   6.00000   0.000000\n",
            "149       0    1  15.0        1        1        0  2.000000   1.0     3     2       0         1         4.0        1.0       3.0          0       0     0           0        1       1         1         0  4.000000  5.000000  5.000000  2.000000  5.000000  5.00000   0.000000   8.000000   9.00000  10.000000\n",
            "150       0    1  18.0        1        1        1  1.000000   1.0     2     2       0         1         1.0        1.0       3.0          0       0     0           0        1       0         1         1  2.000000  3.000000  5.000000  2.000000  5.000000  4.00000   0.000000   6.000000   5.00000   0.000000\n",
            "151       0    1  16.0        1        1        1  2.000000   1.0     0     2       0         1         1.0        1.0       1.0          0       0     0           1        1       1         0         1  4.000000  4.000000  4.000000  3.000000  5.000000  5.00000   6.000000  12.000000  13.00000  14.000000\n",
            "152       0    0  15.0        0        0        1  3.000000   3.0     3     3       3         2         2.0        3.0       2.0          0       1     1           1        1       1         1         1  4.000000  2.000000  1.000000  2.000000  3.000000  3.00000   8.000000  10.000000  10.00000  10.000000\n",
            "153       0    1  19.0        1        0        1  3.000000   2.0     3     0       1         1         1.0        1.0       3.0          0       1     0           0        1       0         1         1  4.000000  5.000000  4.000000  1.000000  1.000000  4.00000   0.000000   5.000000   0.00000   0.000000\n",
            "154       0    0  17.0        1        0        1  4.000000   4.0     2     4       0         1         1.0        1.0       0.0          1       1     0           0        1       1         0         1  4.000000  2.000000  1.000000  1.000000  1.000000  4.00000   0.000000  11.000000  11.00000  12.000000\n",
            "155       0    1  15.0        0        0        1  2.000000   3.0     0     3       0         1         1.0        2.0       0.0          1       0     1           1        1       1         0         0  4.000000  4.000000  4.000000  1.000000  1.000000  1.00000   2.000000  11.000000   8.00000   8.000000\n",
            "156       0    1  17.0        0        1        1  1.000000   2.0     2     2       3         1         1.0        1.0       0.0          0       0     0           0        1       1         0         0  2.000000  2.000000  2.000000  3.000000  3.000000  5.00000   8.000000  16.000000  12.00000  13.000000\n",
            "157       0    0  18.0        0        0        1  1.000000   1.0     0     2       0         1         3.0        1.0       3.0          0       1     0           1        0       1         0         0  5.000000  2.000000  5.000000  1.000000  5.000000  4.00000   6.000000   9.000000   8.00000  10.000000\n",
            "158       0    1  16.0        0        0        1  2.000000   2.0     0     2       0         1         3.0        1.0       0.0          0       0     0           0        0       1         0         0  4.000000  2.000000  2.000000  1.000000  2.000000  3.00000   2.000000  17.000000  15.00000  15.000000\n",
            "159       0    1  16.0        1        0        1  3.000000   3.0     2     3       0         0         1.0        2.0       1.0          0       1     1           1        1       1         1         1  4.000000  5.000000  5.000000  4.000000  4.000000  5.00000   4.000000  10.000000  12.00000  12.000000\n",
            "160       0    1  17.0        0        1        1  2.000000   1.0     0     2       0         1         2.0        1.0       2.0          0       0     0           1        1       0         1         1  3.000000  3.000000  2.000000  2.000000  2.000000  5.00000   0.000000   7.000000   6.00000   0.000000\n",
            "161       0    1  15.0        0        0        1  3.000000   2.0     2     2       0         1         2.0        2.0       2.0          1       1     0           0        1       1         1         1  4.000000  4.000000  4.000000  1.000000  4.000000  3.00000   6.000000  10.894872   9.00000   7.000000\n",
            "162       0    1  16.0        1        1        1  1.000000   2.0     2     2       0         1         2.0        1.0       1.0          0       0     0           1        1       1         0         0  4.000000  4.000000  4.000000  2.000000  4.000000  5.00000   0.000000   7.000000   0.00000   0.000000\n",
            "163       0    1  17.0        1        0        1  1.000000   3.0     0     3       0         0         1.0        1.0       0.0          0       0     0           0        1       0         1         0  5.000000  3.000000  3.000000  1.000000  4.000000  2.00000   2.000000  10.000000  10.00000  10.000000\n",
            "164       0    1  17.0        0        1        1  1.000000   1.0     2     3       0         1         4.0        2.0       3.0          0       0     0           1        1       0         0         1  5.000000  3.000000  5.000000  1.000000  5.000000  5.00000   0.000000   5.000000   8.00000   7.000000\n",
            "165       0    1  16.0        1        0        1  3.000000   2.0     3     3       0         1         2.0        1.0       1.0          0       1     0           1        0       0         0         0  4.000000  5.000000  2.000000  1.000000  1.000000  2.00000  16.000000  12.000000  11.00000  12.000000\n",
            "166       0    1  16.0        1        0        1  2.000000   2.0     2     2       0         0         1.0        2.0       0.0          0       0     0           0        1       0         1         0  4.000000  3.000000  5.000000  2.000000  4.000000  4.00000   4.000000  10.000000  10.00000  10.000000\n",
            "167       0    0  16.0        1        0        1  4.000000   2.0     1     3       1         0         1.0        2.0       0.0          0       0     1           0        1       1         1         1  4.000000  2.000000  3.000000  1.000000  1.000000  3.00000   0.000000  14.000000  15.00000  16.000000\n",
            "168       0    0  16.0        1        0        1  2.000000   2.0     2     2       1         1         1.0        2.0       0.0          0       1     1           1        0       1         1         0  5.000000  1.000000  5.000000  1.000000  1.000000  4.00000   0.000000   6.000000   7.00000   0.000000\n",
            "169       0    0  16.0        1        0        1  4.000000   4.0     1     1       3         1         1.0        2.0       0.0          0       1     1           0        1       1         1         1  4.000000  4.000000  2.000000  1.000000  1.000000  3.00000   0.000000  14.000000  14.00000  14.000000\n",
            "170       0    1  16.0        1        0        1  3.000000   4.0     2     2       0         0         3.0        1.0       2.0          0       1     0           1        0       1         1         0  3.000000  4.000000  5.000000  2.000000  4.000000  2.00000   0.000000   6.000000   5.00000   0.000000\n",
            "171       0    1  16.0        1        0        1  1.000000   0.0     2     2       3         1         2.0        2.0       0.0          0       1     1           1        1       1         1         1  4.000000  3.000000  2.000000  1.000000  1.000000  3.00000   2.000000  13.000000  15.00000  16.000000\n",
            "172       0    1  17.0        1        1        1  4.000000   4.0     4     2       3         1         1.0        2.0       0.0          0       1     1           1        1       1         1         0  4.000000  4.000000  4.000000  1.000000  3.000000  5.00000   0.000000  13.000000  11.00000  10.000000\n",
            "173       0    0  16.0        1        0        1  1.000000   3.0     0     3       1         1         1.0        2.0       3.0          0       0     0           1        0       1         1         0  4.000000  3.000000  5.000000  1.000000  1.000000  3.00000   0.000000   8.000000   7.00000   0.000000\n",
            "174       0    0  16.0        1        1        1  3.000000   3.0     2     2       3         1         2.0        2.0       0.0          0       1     1           1        1       1         1         0  4.000000  4.000000  5.000000  1.000000  2.294872  4.00000   4.000000  10.000000  11.00000   9.000000\n",
            "175       0    1  17.0        1        1        1  4.000000   3.0     4     2       0         1         2.0        2.0       0.0          0       0     1           1        1       1         1         0  4.000000  4.000000  4.000000  4.000000  4.000000  4.00000   4.000000  10.000000   9.00000   9.000000\n",
            "176       0    0  16.0        1        0        1  2.000000   2.0     3     2       3         1         2.0        2.0       0.0          0       0     1           1        0       1         1         0  3.000000  4.000000  4.000000  1.000000  4.000000  5.00000   2.000000  13.000000  13.00000  11.000000\n",
            "177       0    1  17.0        1        0        1  3.000000   3.0     2     2       3         0         1.0        2.0       0.0          0       0     0           1        0       1         1         0  4.000000  3.000000  4.000000  1.000000  4.000000  4.00000   4.000000   6.000000   5.00000   6.000000\n",
            "178       0    1  16.0        0        0        1  4.000000   2.0     4     3       2         1         1.0        1.0       0.0          0       1     0           1        1       1         1         1  4.000000  3.000000  3.000000  3.000000  4.000000  3.00000  10.000000  10.000000   8.00000   9.000000\n",
            "179       0    1  17.0        1        0        1  4.000000   3.0     2     2       0         1         1.0        2.0       0.0          0       1     0           1        1       1         1         1  5.000000  2.000000  3.000000  1.000000  1.000000  2.00000   4.000000  10.000000  10.00000  11.000000\n",
            "180       0    1  16.0        1        0        1  4.000000   3.0     4     2       1         1         1.0        2.0       0.0          0       1     1           1        1       1         1         0  3.000000  4.000000  3.000000  2.000000  3.000000  3.00000  10.000000   9.000000   8.00000   8.000000\n",
            "181       0    1  16.0        1        0        1  3.000000   3.0     3     2       1         1         1.0        2.0       0.0          0       0     1           1        1       1         1         1  4.000000  2.000000  3.000000  1.000000  2.000000  3.00000   2.000000  12.000000  13.00000  12.000000\n",
            "182       0    0  17.0        1        0        1  2.000000   4.0     3     3       3         0         1.0        2.0       0.0          0       1     0           1        1       1         0         0  5.000000  4.000000  2.000000  2.000000  3.000000  5.00000   0.000000  16.000000  17.00000  17.000000\n",
            "183       0    0  17.0        1        1        1  3.000000   3.0     2     2       3         1         1.0        2.0       0.0          0       1     0           1        1       1         1         1  5.000000  3.000000  3.000000  2.000000  3.000000  1.00000  56.000000   9.000000   9.00000   8.000000\n",
            "184       0    0  16.0        1        0        1  3.000000   2.0     2     2       3         1         1.0        2.0       0.0          0       1     1           0        1       1         1         0  1.000000  2.000000  2.000000  1.000000  2.000000  1.00000  14.000000  12.000000  13.00000  12.000000\n",
            "185       0    1  17.0        1        0        1  3.000000   3.0     3     3       2         1         1.0        2.0       0.0          0       1     0           1        1       1         1         1  4.000000  3.000000  4.000000  2.000000  3.000000  4.00000  12.000000  12.000000  12.00000  11.000000\n",
            "186       0    1  16.0        1        0        1  1.000000   2.0     3     3       2         1         1.0        1.0       0.0          0       1     1           1        1       1         1         1  3.000000  3.000000  3.000000  1.000000  2.000000  3.00000   2.000000  11.000000  12.00000  11.000000\n",
            "187       0    1  16.0        1        1        1  2.000000   1.0     2     2       0         1         1.0        2.0       0.0          0       0     1           1        1       1         1         1  4.000000  2.000000  3.000000  1.000000  2.000000  5.00000   0.000000  15.000000  15.00000  15.000000\n",
            "188       0    0  17.0        1        0        0  3.000000   3.0     1     2       3         1         1.0        2.0       0.0          0       1     0           0        0       1         1         1  3.000000  3.000000  3.000000  1.000000  3.000000  3.00000   6.000000   8.000000   7.00000   9.000000\n",
            "189       0    1  17.0        0        0        1  1.000000   2.0     0     2       1         1         1.0        2.0       0.0          0       0     0           0        1       1         0         0  3.000000  1.000000  3.000000  1.000000  5.000000  3.00000   4.000000   8.000000   9.00000  10.000000\n",
            "190       0    0  16.0        1        0        1  2.000000   3.0     3     3       0         1         1.0        2.0       0.0          0       0     0           0        1       1         1         0  4.000000  3.000000  3.000000  1.000000  1.000000  2.00000  10.000000  11.000000  12.00000  13.000000\n",
            "191       0    0  17.0        1        0        1  1.000000   1.0     0     3       0         1         1.0        2.0       0.0          0       0     0           1        1       1         1         0  5.000000  3.000000  3.000000  1.000000  1.000000  3.56701   0.000000   8.000000   8.00000   9.000000\n",
            "192       0    1  17.0        1        0        1  1.000000   2.0     0     3       2         2         2.0        2.0       0.0          0       0     1           1        0       1         1         0  4.000000  4.000000  4.000000  4.000000  5.000000  5.00000  12.000000   7.000000   8.00000   8.000000\n",
            "193       0    1  16.0        0        0        1  3.000000   3.0     3     3       3         1         1.0        1.0       0.0          0       1     0           1        1       1         1         0  4.000000  3.000000  2.000000  3.000000  4.000000  5.00000   8.000000   8.000000   9.00000  10.000000\n",
            "194       0    1  16.0        1        0        1  2.000000   3.0     2     2       1         0         2.0        1.0       0.0          0       0     0           0        1       1         1         0  5.000000  3.000000  3.000000  1.000000  1.000000  3.00000   0.000000  13.000000  14.00000  14.000000\n",
            "195       0    0  17.0        1        1        1  2.000000   4.0     3     3       0         0         1.0        2.0       0.0          0       0     0           1        1       1         1         1  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   0.000000  14.000000  15.00000  15.000000\n",
            "196       0    1  17.0        1        0        1  4.000000   4.0     3     4       1         1         1.0        1.0       0.0          0       0     0           0        1       1         1         0  5.000000  2.000000  3.000000  1.000000  2.000000  5.00000   4.000000  17.000000  15.00000  16.000000\n",
            "197       0    1  16.0        0        1        1  3.000000   3.0     4     2       1         0         3.0        1.0       0.0          0       1     1           1        1       1         1         0  3.000000  3.000000  4.000000  3.000000  5.000000  3.00000   8.000000   9.000000   9.00000  10.000000\n",
            "198       0    0  17.0        1        0        1  4.000000   4.0     3     4       1         1         2.0        1.0       1.0          0       1     0           0        1       1         1         0  4.000000  2.000000  4.000000  2.000000  3.000000  2.00000  24.000000  18.000000  18.00000  18.000000\n",
            "199       0    0  16.0        1        1        1  4.000000   4.0     4     4       3         1         1.0        2.0       0.0          0       1     1           0        1       1         1         0  4.000000  5.000000  2.000000  1.000000  2.000000  3.00000   0.000000   9.000000   9.00000  10.000000\n",
            "200       0    0  16.0        1        0        1  4.000000   3.0     1     2       1         1         1.0        2.0       0.0          0       1     0           1        1       1         1         0  4.000000  3.000000  5.000000  1.000000  5.000000  2.00000   2.000000  16.000000  16.00000  16.000000\n",
            "201       0    0  16.0        1        0        1  2.000000   3.0     2     2       3         1         1.0        2.0       0.0          1       1     1           1        1       1         0         0  4.000000  4.000000  3.000000  1.000000  3.000000  4.00000   6.000000   8.000000  10.00000  10.000000\n",
            "202       0    0  17.0        1        0        1  1.000000   1.0     2     2       0         1         1.0        2.0       0.0          0       1     1           0        0       1         0         0  4.000000  4.000000  4.000000  1.000000  3.000000  1.00000   4.000000   9.000000   9.00000  10.000000\n",
            "203       0    0  17.0        0        0        1  2.000000   2.0     2     2       3         1         1.0        1.0       0.0          0       1     0           0        1       1         1         0  5.000000  3.000000  2.000000  1.000000  2.000000  3.00000  18.000000   7.000000   6.00000   6.000000\n",
            "204       0    0  16.0        0        0        1  2.000000   2.0     3     3       3         1         2.0        4.0       0.0          0       1     1           1        0       1         1         0  5.000000  3.000000  5.000000  1.000000  1.000000  5.00000   6.000000  10.000000  10.00000  11.000000\n",
            "205       0    0  17.0        1        0        1  3.000000   4.0     0     3       1         1         1.0        3.0       1.0          0       1     1           0        1       1         1         1  4.000000  4.000000  3.000000  3.000000  4.000000  5.00000  28.000000  10.000000   9.00000   9.000000\n",
            "206       0    0  16.0        1        0        0  3.000000   1.0     3     2       0         1         1.0        2.0       3.0          0       1     1           0        1       1         1         0  2.000000  3.000000  3.000000  2.000000  2.000000  4.00000   5.000000   7.000000   7.00000   7.000000\n",
            "207       0    0  16.0        1        0        1  4.000000   3.0     4     2       2         1         1.0        2.0       0.0          0       0     1           1        1       1         1         1  1.000000  3.000000  2.000000  1.000000  1.000000  1.00000  10.000000  11.000000  12.00000  13.000000\n",
            "208       0    0  16.0        1        0        1  1.000000   1.0     0     2       1         1         2.0        1.0       0.0          0       1     1           0        1       1         0         0  4.000000  3.000000  2.000000  1.000000  4.000000  5.00000   6.000000   9.000000   9.00000  10.000000\n",
            "209       0    0  17.0        0        0        1  4.000000   3.0     4     2       3         1         2.0        3.0       0.0          0       1     1           1        1       1         1         1  4.000000  4.000000  2.000000  1.000000  1.000000  4.00000   6.000000   7.000000   7.00000   7.000000\n",
            "210       0    0  19.0        1        0        1  3.000000   3.0     2     2       3         2         1.0        4.0       0.0          0       1     1           1        1       1         1         0  4.000000  3.000000  3.000000  1.000000  2.000000  3.00000  10.000000   8.000000   8.00000   8.000000\n",
            "211       0    1  17.0        1        1        1  4.000000   4.0     3     2       1         1         1.0        2.0       0.0          0       1     1           0        1       1         1         1  5.000000  3.000000  5.000000  4.000000  5.000000  3.00000  13.000000  12.000000  12.00000  13.000000\n",
            "212       0    0  16.0        1        0        0  2.000000   2.0     2     2       3         1         1.0        2.0       0.0          1       1     1           0        1       1         1         0  3.000000  3.000000  4.000000  1.000000  1.000000  4.00000   0.000000  12.000000  13.00000  14.000000\n",
            "213       0    1  18.0        1        0        1  2.000000   2.0     3     2       1         1         1.0        2.0       1.0          0       1     1           1        1       1         1         0  4.000000  4.000000  4.000000  2.000000  4.000000  5.00000  15.000000   6.000000   7.00000   8.000000\n",
            "214       0    0  17.0        0        1        1  4.000000   4.0     3     2       2         1         1.0        1.0       0.0          0       1     1           0        1       1         0         0  5.000000  2.000000  1.000000  1.000000  2.000000  3.00000  12.000000   8.000000  10.00000  10.000000\n",
            "215       0    0  17.0        1        1        1  3.000000   2.0     2     2       3         1         2.0        2.0       0.0          0       0     1           0        1       1         1         0  4.000000  4.000000  4.000000  1.000000  3.000000  1.00000   2.000000  14.000000  15.00000  15.000000\n",
            "216       0    0  17.0        1        0        1  4.000000   3.0     2     2       3         1         1.0        2.0       2.0          0       0     1           0        1       1         1         1  3.000000  4.000000  5.000000  2.000000  4.000000  3.56701  22.000000   6.000000   6.00000   4.000000\n",
            "217       0    1  18.0        1        1        1  3.000000   3.0     3     1       1         0         1.0        2.0       1.0          0       1     1           0        1       1         1         0  3.000000  2.000000  4.000000  2.000000  4.000000  4.00000  13.000000   6.000000   6.00000   8.000000\n",
            "218       0    0  17.0        1        0        1  2.000000   3.0     0     2       1         0         2.0        1.0       0.0          0       1     1           0        1       1         0         0  3.000000  3.000000  3.000000  1.000000  4.000000  3.00000   3.000000   7.000000   7.00000   8.000000\n",
            "219       0    0  17.0        1        0        1  2.000000   2.0     0     0       0         1         1.0        3.0       0.0          0       1     1           1        1       1         1         0  4.000000  3.000000  3.000000  1.000000  1.000000  4.00000   4.000000   9.000000  10.00000  10.000000\n",
            "220       0    0  17.0        0        0        1  2.000000   1.0     0     3       3         1         2.0        2.0       0.0          0       1     0           1        1       1         1         0  4.000000  2.000000  5.000000  1.000000  2.000000  5.00000   2.000000   6.000000   6.00000   6.000000\n",
            "221       0    0  17.0        1        0        1  1.000000   1.0     0     2       3         1         1.0        3.0       1.0          0       1     0           1        1       1         0         1  4.000000  3.000000  4.000000  1.000000  1.000000  5.00000   0.000000   6.000000   5.00000   0.000000\n",
            "222       0    0  16.0        1        0        1  2.000000   3.0     3     4       2         1         1.0        2.0       0.0          1       0     0           0        1       1         1         0  2.000000  3.000000  1.000000  1.000000  1.000000  3.00000   2.000000  16.000000  16.00000  17.000000\n",
            "223       0    1  18.0        1        0        1  2.000000   2.0     2     2       1         1         2.0        2.0       0.0          0       1     1           0        1       1         1         0  3.000000  3.000000  3.000000  5.000000  5.000000  4.00000   0.000000  12.000000  13.00000  13.000000\n",
            "224       0    0  16.0        1        0        1  4.000000   4.0     4     3       1         1         1.0        3.0       0.0          0       1     0           1        0       1         1         0  5.000000  3.000000  2.000000  1.000000  1.000000  5.00000   0.000000  13.000000  13.00000  14.000000\n",
            "225       0    0  18.0        0        0        1  3.000000   1.0     2     2       3         1         1.0        2.0       1.0          0       0     0           1        1       1         1         1  5.000000  3.000000  3.000000  1.000000  1.000000  4.00000  16.000000   9.000000   8.00000   7.000000\n",
            "226       0    0  17.0        1        0        1  3.000000   2.0     2     2       0         1         1.0        2.0       0.0          0       0     0           1        0       1         1         0  5.000000  3.000000  4.000000  1.000000  3.000000  3.00000  10.000000  16.000000  15.00000  15.000000\n",
            "227       0    1  17.0        1        1        1  2.000000   3.0     3     3       3         0         1.0        2.0       0.0          0       1     1           0        0       1         1         0  5.000000  3.000000  3.000000  1.476923  3.000000  3.00000   2.000000  12.000000  11.00000  12.000000\n",
            "228       0    1  18.0        1        1        1  2.000000   1.0     0     2       0         1         4.0        2.0       0.0          1       1     1           1        1       1         1         1  4.000000  3.000000  2.000000  4.000000  5.000000  3.00000  14.000000  10.000000   8.00000   9.000000\n",
            "229       0    0  17.0        1        0        0  2.000000   1.0     2     2       0         1         2.0        3.0       0.0          0       0     0           1        1       1         1         1  3.000000  2.000000  3.000000  1.000000  2.000000  3.00000  10.000000  12.000000  10.00000  12.000000\n",
            "230       0    0  17.0        1        1        1  4.000000   3.0     1     2       3         0         1.0        2.0       0.0          0       0     0           1        1       1         1         1  3.000000  2.000000  3.000000  1.000000  2.000000  3.00000  14.000000  13.000000  13.00000  14.000000\n",
            "231       0    1  17.0        0        0        1  2.000000   2.0     2     2       0         0         2.0        2.0       0.0          0       1     1           1        1       1         1         0  4.000000  5.000000  2.000000  1.000000  1.000000  1.00000   4.000000  11.000000  11.00000  11.000000\n",
            "232       0    1  17.0        1        0        1  4.000000   4.0     4     4       3         1         1.0        2.0       0.0          1       1     0           1        1       1         1         1  4.000000  5.000000  5.000000  1.000000  3.000000  2.00000  14.000000  11.000000   9.00000   9.000000\n",
            "233       0    1  16.0        1        0        1  4.000000   4.0     1     2       3         0         1.0        2.0       0.0          0       1     1           1        1       1         1         0  4.000000  2.000000  4.000000  2.000000  4.000000  1.00000   2.000000  14.000000  13.00000  13.000000\n",
            "234       0    1  16.0        1        1        1  1.000000   1.0     2     2       1         1         2.0        2.0       0.0          0       1     1           0        1       1         1         0  3.000000  4.000000  2.000000  1.000000  1.000000  5.00000  18.000000   9.000000   7.00000   6.000000\n",
            "235       0    1  16.0        1        0        1  3.000000   2.0     0     2       3         1         2.0        3.0       0.0          0       0     0           1        1       1         1         1  5.000000  3.000000  3.000000  1.000000  3.000000  2.00000  10.000000  11.000000   9.00000  10.000000\n",
