 " One-Hot Encoded Veri (Tüm Satırlar ve Sütunlar):\n",
            "      age      Medu  Fedu  traveltime  studytime  failures    famrel  freetime     goout      Dalc      Walc   health   absences         G1        G2         G3  school_GP  school_MS  sex_F  sex_M  address_R  address_U  famsize_GT3  famsize_LE3  Pstatus_A  Pstatus_T  Mjob_at_home  Mjob_health  Mjob_other  Mjob_services  Mjob_teacher  Fjob_at_home  Fjob_health  Fjob_other  Fjob_services  Fjob_teacher  reason_course  reason_home  reason_other  reason_reputation  guardian_father  guardian_mother  guardian_other  schoolsup_no  schoolsup_yes  famsup_no  famsup_yes  paid_no  paid_yes  activities_no  activities_yes  nursery_no  nursery_yes  higher_no  higher_yes  internet_no  internet_yes  romantic_no  romantic_yes\n",
            "86   16.0  2.000000   2.0         1.0        2.0       0.0  4.000000  3.000000  4.000000  1.000000  2.000000  2.00000   4.000000   8.000000   7.00000   6.000000       True      False   True  False      False       True        False         True      False       True          True        False       False          False         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False      False        True     True     False           True           False       False         True      False        True         True         False         True         False\n",
            "87   15.0  4.000000   2.0         1.0        3.0       0.0  5.000000  3.000000  3.000000  1.000000  3.000000  1.00000   4.000000  13.000000  14.00000  14.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False        False         False               True            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "88   16.0  2.000000   2.0         2.0        2.0       1.0  4.000000  4.000000  2.000000  1.000000  1.000000  3.00000  12.000000  11.000000  10.00000  10.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False        True          False         False          False        False         False               True             True            False           False          True          False       True       False    False      True          False            True        True        False      False        True        False          True         True         False\n",
            "89   16.0  4.000000   4.0         1.0        2.0       0.0  4.000000  1.000000  3.000000  3.000000  5.000000  5.00000  18.000000   8.000000   6.00000   7.000000       True      False  False   True      False       True        False         True       True      False         False        False       False          False          True         False         True       False          False         False          False        False         False               True            False             True           False          True          False      False        True     True     False           True           False       False         True      False        True         True         False         True         False\n",
            "90   16.0  3.000000   3.0         1.0        3.0       0.0  4.000000  3.000000  3.000000  1.000000  3.000000  4.00000   0.000000   7.000000   7.00000   8.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False      False        True    False      True           True           False       False         True      False        True        False          True        False          True\n",
            "91   15.0  4.000000   3.0         1.0        1.0       0.0  4.000000  5.000000  5.000000  1.000000  3.000000  1.00000   4.000000  16.000000  17.00000  18.000000       True      False   True  False      False       True         True        False      False       True         False        False       False           True         False         False        False        True          False         False          False        False         False               True            False             True           False          True          False       True       False    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "92   16.0  3.000000   1.0         1.0        2.0       0.0  3.000000  3.000000  3.000000  2.000000  3.000000  2.00000   4.000000  10.894872   6.00000   6.000000       True      False   True  False      False       True        False         True      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False             True            False           False         False           True      False        True     True     False           True           False       False         True      False        True         True         False         True         False\n",
            "93   16.0  4.000000   2.0         2.0        2.0       0.0  5.000000  3.000000  3.000000  1.000000  1.000000  1.00000   0.000000  11.000000  10.00000  10.000000       True      False   True  False      False       True         True        False      False       True         False        False       False          False          True         False        False       False           True         False          False         True         False              False            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "94   15.0  2.000000   2.0         1.0        4.0       0.0  4.000000  3.000000  4.000000  1.000000  1.000000  4.00000   6.000000  11.000000  13.00000  14.000000       True      False  False   True      False       True        False         True      False       True         False        False       False           True         False         False         True       False          False         False          False        False         False               True            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "95   15.0  1.000000   1.0         2.0        4.0       1.0  3.000000  1.000000  2.000000  1.000000  1.000000  1.00000   2.000000   7.000000  10.00000  10.000000       True      False   True  False       True      False         True        False      False       True          True        False       False          False         False         False        False        True          False         False          False         True         False              False            False             True           False         False           True      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "96   16.0  4.000000   3.0         2.0        1.0       0.0  3.000000  3.000000  3.000000  1.000000  1.000000  4.00000   2.000000  11.000000  15.00000  15.000000       True      False  False   True       True      False         True        False      False       True         False        False       False           True         False         False        False        True          False         False          False        False         False               True            False             True           False         False           True      False        True     True     False          False            True        True        False      False        True        False          True         True         False\n",
            "97   16.0  2.000000   1.0         1.0        2.0       0.0  4.000000  3.000000  5.000000  1.000000  1.000000  5.00000   2.000000   8.000000   9.00000  10.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False      False        True    False      True           True           False       False         True      False        True         True         False        False          True\n",
            "98   16.0  4.000000   4.0         1.0        1.0       0.0  5.000000  3.000000  4.000000  1.000000  2.000000  1.00000   6.000000  11.000000  14.00000  14.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False        False         False               True            False             True           False          True          False       True       False     True     False          False            True        True        False      False        True        False          True         True         False\n",
            "99   16.0  4.000000   3.0         1.0        3.0       0.0  5.000000  3.000000  5.000000  1.000000  1.000000  3.56701   0.000000   7.000000   9.00000   8.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False          True        False       False          False         False           True        False         False              False            False             True           False         False           True      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "100  16.0  4.000000   4.0         1.0        1.0       0.0  4.000000  5.000000  5.000000  5.000000  5.000000  4.00000  14.000000   7.000000   7.00000   5.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False       False           True         False          False        False          True              False            False             True           False         False           True      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "101  16.0  4.000000   4.0         1.0        3.0       0.0  4.000000  4.000000  3.000000  1.000000  1.000000  4.00000   0.000000  16.000000  17.00000  17.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False       False          False          True          False        False          True              False             True            False           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True        False          True\n",
            "102  15.0  4.000000   4.0         1.0        1.0       0.0  5.000000  3.000000  3.000000  1.000000  1.000000  5.00000   4.000000  10.000000  13.00000  14.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False      False        True     True     False          False            True        True        False      False        True        False          True         True         False\n",
            "103  15.0  3.000000   2.0         2.0        2.0       0.0  4.000000  3.000000  5.000000  1.000000  1.000000  2.00000  26.000000   7.000000   6.00000   6.000000       True      False   True  False      False       True         True        False      False       True         False        False       False           True         False         False        False        True          False         False          False         True         False              False            False             True           False         False           True      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "104  15.0  3.000000   4.0         1.0        2.0       0.0  5.000000  4.000000  4.000000  1.000000  1.000000  1.00000   0.000000  16.000000  18.00000  18.000000       True      False  False   True      False       True         True        False       True      False         False        False       False           True         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "105  15.0  3.000000   3.0         1.0        4.0       0.0  4.000000  3.000000  3.000000  1.000000  1.000000  3.56701  10.000000  10.000000  11.00000  11.000000       True      False   True  False      False       True         True        False       True      False         False        False        True          False         False         False         True       False          False         False          False        False         False               True             True            False           False         False           True       True       False     True     False           True           False       False         True      False        True         True         False         True         False\n",
            "106  15.0  2.000000   2.0         1.0        4.0       0.0  5.000000  1.000000  2.000000  1.000000  1.000000  3.00000   8.000000   7.000000   8.00000   8.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False           True        False         False              False            False             True           False         False           True      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "107  16.0  3.000000   3.0         1.0        3.0       0.0  5.000000  3.000000  3.000000  1.000000  1.000000  5.00000   2.000000  16.000000  18.00000  18.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False        True          False         False          False         True         False              False             True            False           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "108  15.0  4.000000   4.0         4.0        4.0       0.0  1.000000  3.000000  5.000000  3.000000  5.000000  1.00000   6.000000  10.000000  13.00000  13.000000       True      False  False   True       True      False         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False             True            False           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True        False          True\n",
            "109  16.0  4.000000   4.0         1.0        3.0       0.0  5.000000  4.000000  5.000000  1.000000  1.000000  4.00000   4.000000  14.000000  15.00000  16.000000       True      False   True  False      False       True        False         True      False       True         False         True       False          False         False         False         True       False          False         False          False        False          True              False            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True        False          True\n",
            "110  15.0  4.000000   4.0         1.0        1.0       0.0  5.000000  5.000000  3.000000  1.000000  1.000000  4.00000   6.000000  18.000000  19.00000  19.000000       True      False  False   True      False       True        False         True       True      False         False        False       False          False          True         False        False       False          False          True           True        False         False              False            False             True           False          True          False       True       False     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "111  16.0  3.000000   3.0         1.0        3.0       1.0  4.000000  1.000000  2.000000  1.000000  1.000000  2.00000   0.000000   7.000000  10.00000  10.000000       True      False   True  False       True      False         True        False      False       True         False        False       False           True         False         False        False        True          False         False          False        False         False               True             True            False           False         False           True      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "112  16.0  2.000000   2.0         1.0        2.0       1.0  3.000000  1.000000  2.000000  1.000000  1.000000  5.00000   6.000000  10.000000  13.00000  13.000000       True      False   True  False      False       True         True        False      False       True          True        False       False          False         False         False        False        True          False         False          False         True         False              False            False             True           False         False           True       True       False     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "113  15.0  4.000000   2.0         1.0        1.0       0.0  3.000000  5.000000  2.000000  1.000000  1.000000  3.00000  10.000000  18.000000  19.00000  19.000000       True      False  False   True      False       True        False         True      False       True         False        False       False          False          True         False        False        True          False         False           True        False         False              False            False             True           False          True          False       True       False     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "114  15.0  2.000000   1.0         1.0        2.0       0.0  5.000000  4.000000  2.000000  1.476923  1.000000  5.00000   8.000000   9.000000   9.00000   9.000000       True      False  False   True       True      False         True        False      False       True         False         True       False          False         False         False        False       False           True         False          False        False         False               True            False             True           False          True          False       True       False     True     False          False            True       False         True      False        True        False          True        False          True\n",
            "115  16.0  4.000000   4.0         1.0        2.0       0.0  5.000000  4.000000  4.000000  1.000000  2.000000  5.00000   2.000000  15.000000  15.00000  16.000000       True      False  False   True      False       True         True        False      False       True         False        False       False          False          True         False        False       False          False          True           True        False         False              False             True            False           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "116  15.0  4.000000   4.0         2.0        2.0       0.0  4.000000  4.000000  3.000000  1.000000  1.000000  2.00000   2.000000  11.000000  13.00000  14.000000       True      False  False   True      False       True         True        False      False       True         False        False        True          False         False         False        False       False          False          True          False        False         False               True             True            False           False          True          False      False        True     True     False          False            True       False         True      False        True         True         False         True         False\n",
            "117  16.0  3.000000   3.0         2.0        1.0       0.0  5.000000  4.000000  2.000000  1.000000  1.000000  5.00000   0.000000  13.000000  14.00000  13.000000       True      False  False   True      False       True         True        False      False       True         False        False        True          False         False         False        False       False           True         False          False         True         False              False             True            False           False          True          False       True       False     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "118  17.0  1.000000   3.0         3.0        2.0       1.0  5.000000  2.000000  4.000000  1.000000  4.000000  5.00000  20.000000   9.000000   7.00000   8.000000       True      False  False   True       True      False         True        False      False       True         False        False        True          False         False         False        False        True          False         False           True        False         False              False             True            False           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "119  15.0  3.000000   4.0         1.0        1.0       0.0  3.000000  4.000000  3.000000  1.000000  2.000000  4.00000   6.000000  14.000000  13.00000  13.000000       True      False  False   True      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False        False         False               True             True            False           False          True          False       True       False     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "120  15.0  1.000000   2.0         1.0        2.0       0.0  3.000000  2.000000  3.000000  1.000000  2.000000  1.00000   2.000000  16.000000  15.00000  15.000000       True      False   True  False      False       True         True        False      False       True          True        False       False          False         False         False        False       False           True         False           True        False         False              False            False             True           False          True          False       True       False     True     False           True           False        True        False      False        True        False          True         True         False\n",
            "121  15.0  2.000000   2.0         1.0        4.0       0.0  5.000000  5.000000  4.000000  1.000000  2.000000  5.00000   6.000000  16.000000  14.00000  15.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False       False           True         False          False         True         False              False             True            False           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "122  16.0  2.000000   4.0         2.0        2.0       0.0  4.000000  2.000000  2.000000  1.000000  2.000000  5.00000   2.000000  13.000000  13.00000  13.000000       True      False   True  False      False       True        False         True      False       True         False        False        True          False         False         False         True       False          False         False           True        False         False              False             True            False           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True        False          True\n",
            "123  16.0  4.000000   4.0         1.0        1.0       0.0  3.000000  4.000000  4.000000  1.000000  4.000000  5.00000  18.000000  14.000000  11.00000  13.000000       True      False  False   True      False       True         True        False      False       True         False         True       False          False         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "124  16.0  2.000000   2.0         1.0        2.0       0.0  5.000000  4.000000  4.000000  1.000000  1.000000  5.00000   0.000000   8.000000   7.00000   8.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False       True       False    False      True           True           False       False         True      False        True        False          True        False          True\n",
            "125  15.0  3.000000   4.0         1.0        1.0       0.0  5.000000  5.000000  5.000000  3.000000  2.000000  5.00000   0.000000  13.000000  13.00000  12.000000       True      False  False   True      False       True         True        False      False       True         False        False       False           True         False         False        False       False           True         False          False         True         False              False             True            False           False         False           True       True       False     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "126  15.0  3.000000   4.0         1.0        2.0       0.0  5.000000  3.000000  2.000000  1.000000  1.000000  1.00000   0.000000   7.000000  10.00000  11.000000       True      False   True  False      False       True        False         True       True      False         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False             True           False         False           True       True       False     True     False          False            True       False         True      False        True        False          True        False          True\n",
            "127  19.0  0.000000   1.0         1.0        2.0       3.0  3.000000  4.000000  2.000000  1.000000  1.000000  5.00000   2.000000   7.000000   8.00000   9.000000       True      False   True  False      False       True         True        False      False       True          True        False       False          False         False         False        False        True          False         False           True        False         False              False            False            False            True          True          False      False        True     True     False           True           False        True        False       True       False         True         False         True         False\n",
            "128  18.0  2.000000   2.0         1.0        1.0       2.0  3.000000  3.000000  3.000000  1.000000  2.000000  4.00000   0.000000   7.000000   4.00000   0.000000       True      False  False   True       True      False         True        False      False       True         False        False       False           True         False         False        False        True          False         False          False        False         False               True            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "129  16.0  4.000000   4.0         1.0        1.0       0.0  3.000000  5.000000  5.000000  2.000000  5.000000  4.00000   8.000000  18.000000  18.00000  18.000000       True      False  False   True       True      False         True        False      False       True         False        False       False          False          True         False        False       False          False          True           True        False         False              False            False             True           False          True          False       True       False    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "130  15.0  3.000000   4.0         2.0        3.0       2.0  4.000000  2.000000  2.000000  2.000000  2.000000  5.00000   0.000000  12.000000   0.00000   0.000000       True      False   True  False       True      False         True        False      False       True         False        False       False           True         False         False        False       False          False          True           True        False         False              False             True            False           False          True          False      False        True     True     False           True           False       False         True      False        True        False          True        False          True\n",
            "131  15.0  1.000000   1.0         3.0        1.0       0.0  4.000000  3.000000  3.000000  1.000000  2.000000  4.00000   0.000000   8.000000   0.00000   0.000000       True      False   True  False      False       True         True        False      False       True          True        False       False          False         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False      False        True     True     False          False            True        True        False      False        True        False          True        False          True\n",
            "132  17.0  2.000000   2.0         1.0        1.0       0.0  3.000000  4.000000  4.000000  1.000000  3.000000  5.00000  12.000000  10.000000  13.00000  12.000000       True      False   True  False      False       True        False         True      False       True         False        False        True          False         False         False        False        True          False         False           True        False         False              False             True            False           False          True          False      False        True     True     False           True           False       False         True      False        True        False          True        False          True\n",
            "133  16.0  3.000000   4.0         1.0        1.0       0.0  3.000000  2.000000  1.000000  1.000000  4.000000  5.00000  16.000000  12.000000  11.00000  11.000000       True      False   True  False      False       True         True        False       True      False         False        False       False           True         False         False        False        True          False         False           True        False         False              False             True            False           False          True          False       True       False     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "134  15.0  3.000000   4.0         4.0        2.0       0.0  5.000000  3.000000  3.000000  1.000000  1.000000  5.00000   0.000000   9.000000   0.00000   0.000000       True      False  False   True       True      False         True        False      False       True          True        False       False          False         False         False        False       False          False          True           True        False         False              False            False             True           False          True          False      False        True     True     False           True           False       False         True      False        True         True         False        False          True\n",
            "135  15.0  4.000000   4.0         1.0        3.0       0.0  4.000000  3.000000  3.000000  1.000000  2.294872  5.00000   0.000000  11.000000   0.00000   0.000000       True      False   True  False      False       True         True        False      False       True         False        False       False           True         False          True        False       False          False         False           True        False         False              False            False             True           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True        False          True\n",
            "136  17.0  3.000000   4.0         3.0        2.0       0.0  5.000000  4.000000  5.000000  2.000000  4.000000  5.00000   0.000000  10.000000   0.00000   0.000000       True      False  False   True       True      False         True        False      False       True          True        False       False          False         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False       True       False     True     False           True           False       False         True      False        True         True         False         True         False\n",
            "137  16.0  3.000000   3.0         2.0        1.0       2.0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   0.000000   4.000000   0.00000   0.000000       True      False   True  False      False       True         True        False       True      False         False        False        True          False         False         False        False        True          False         False           True        False         False              False            False            False            True          True          False      False        True     True     False          False            True        True        False      False        True        False          True         True         False\n",
            "138  16.0  1.000000   1.0         1.0        2.0       1.0  4.000000  4.000000  4.000000  1.000000  3.000000  5.00000   0.000000  14.000000  12.00000  12.000000       True      False  False   True      False       True        False         True      False       True         False        False       False           True         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False       True       False     True     False           True           False       False         True      False        True         True         False        False          True\n",
            "139  15.0  4.000000   4.0         2.0        1.0       0.0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   0.000000  16.000000  16.00000  15.000000       True      False   True  False      False       True         True        False      False       True         False        False       False          False          True         False        False       False          False          True           True        False         False              False            False             True           False          True          False       True       False     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "140  15.0  4.000000   3.0         2.0        4.0       0.0  2.000000  2.000000  2.000000  1.000000  1.000000  3.00000   0.000000   7.000000   9.00000   0.000000       True      False  False   True      False       True         True        False      False       True         False        False       False          False          True         False        False       False           True         False           True        False         False              False             True            False           False         False           True      False        True     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "141  16.0  2.000000   2.0         2.0        1.0       2.0  2.000000  3.000000  3.000000  2.000000  2.000000  2.00000   8.000000   9.000000   9.00000   9.000000       True      False  False   True      False       True        False         True      False       True         False        False       False           True         False         False        False       False           True         False          False        False         False               True             True            False           False          True          False      False        True     True     False          False            True       False         True      False        True        False          True         True         False\n",
            "142  15.0  4.000000   4.0         1.0        3.0       0.0  4.000000  2.000000  2.000000  1.000000  1.000000  5.00000   2.000000   9.000000  11.00000  11.000000       True      False   True  False      False       True         True        False      False       True         False        False       False          False          True         False        False       False           True         False           True        False         False              False            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "143  16.0  1.000000   1.0         1.0        1.0       0.0  3.000000  4.000000  4.000000  3.000000  3.000000  1.00000   2.000000  14.000000  14.00000  13.000000       True      False   True  False      False       True        False         True      False       True          True        False       False          False         False          True        False       False          False         False           True        False         False              False            False             True           False          True          False       True       False     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "144  17.0  2.000000   1.0         1.0        1.0       3.0  5.000000  4.000000  5.000000  1.000000  2.000000  5.00000   0.000000   5.000000   0.00000   0.000000       True      False  False   True      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False      False        True     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "145  15.0  1.000000   1.0         1.0        2.0       0.0  4.000000  4.000000  2.000000  1.000000  2.000000  5.00000   0.000000   8.000000  11.00000  11.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False       False           True         False           True        False         False              False             True            False           False          True          False      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "146  15.0  3.000000   2.0         1.0        2.0       3.0  3.000000  3.000000  2.000000  1.000000  1.000000  3.00000   0.000000   6.000000   7.00000   0.000000       True      False   True  False      False       True         True        False      False       True         False         True       False          False         False         False        False       False           True         False          False         True         False              False             True            False           False          True          False      False        True     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "147  15.0  1.000000   2.0         1.0        2.0       0.0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   2.000000  10.000000  11.00000  11.000000       True      False   True  False      False       True         True        False      False       True          True        False       False          False         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False      False        True    False      True           True           False        True        False      False        True        False          True         True         False\n",
